Timestamp,Iteration,Test_Type,IOPS,BW_MiB_s,Lat_Mean_ms,Lat_Min_ms,Lat_Max_ms,Lat_StdDev_ms,Lat_p95_ms
2026-02-11T10:26:23Z,1,Random_Write,1567.421629,6.12,0.59,0.25,8.86,0.21,0.85
2026-02-11T10:26:46Z,1,Random_Read,1302.884856,5.09,0.73,0.01,22.89,0.33,1.11
2026-02-11T10:27:16Z,1,Seq_Read,145.170966,145.17,6.76,1.17,12.97,0.86,7.83
2026-02-11T10:27:46Z,2,Random_Write,1428.378581,5.58,0.65,0.19,12.40,0.30,0.98
2026-02-11T10:28:09Z,2,Random_Read,1346.532673,5.26,0.70,0.14,7.91,0.30,1.09
2026-02-11T10:28:39Z,2,Seq_Read,145.135486,145.13,6.76,1.21,18.64,0.87,7.70
2026-02-11T10:29:10Z,3,Random_Write,1430.728464,5.59,0.65,0.31,9.80,0.25,0.97
2026-02-11T10:29:32Z,3,Random_Read,1442.727864,5.63,0.66,0.01,8.47,0.28,1.00
2026-02-11T10:30:02Z,3,Seq_Read,145.149198,145.15,6.78,1.16,13.61,0.86,7.83
2026-02-11T10:30:32Z,4,Random_Write,1313.934303,5.13,0.71,0.28,9.29,0.29,1.12
2026-02-11T10:30:55Z,4,Random_Read,1310.934453,5.12,0.73,0.01,16.37,0.30,1.12
2026-02-11T10:31:25Z,4,Seq_Read,145.156453,145.16,6.78,1.40,12.89,0.88,7.77
2026-02-11T10:31:55Z,5,Random_Write,1282.585871,5.01,0.73,0.27,7.91,0.28,1.19
2026-02-11T10:32:17Z,5,Random_Read,1193.340333,4.66,0.80,0.27,9.07,0.34,1.30
2026-02-11T10:32:47Z,5,Seq_Read,145.056483,145.06,6.78,0.99,16.10,0.90,7.83
