timestamp,test_iteration,test_type,target,protocol,config,result_value,result_unit
2026-02-10T21:00:01Z,1,ping_min,Google DNS,icmp,default, 0.263,ms
2026-02-10T21:00:01Z,1,ping_avg,Google DNS,icmp,default,0.331,ms
2026-02-10T21:00:01Z,1,ping_max,Google DNS,icmp,default,0.556,ms
2026-02-10T21:00:01Z,1,ping_stddev,Google DNS,icmp,default,0.079,ms
2026-02-10T21:00:01Z,1,ping_loss,Google DNS,icmp,default,0,percent
2026-02-10T21:00:05Z,2,ping_min,Google DNS,icmp,default, 0.279,ms
2026-02-10T21:00:05Z,2,ping_avg,Google DNS,icmp,default,0.314,ms
2026-02-10T21:00:05Z,2,ping_max,Google DNS,icmp,default,0.373,ms
2026-02-10T21:00:05Z,2,ping_stddev,Google DNS,icmp,default,0.032,ms
2026-02-10T21:00:05Z,2,ping_loss,Google DNS,icmp,default,0,percent
2026-02-10T21:00:09Z,3,ping_min,Google DNS,icmp,default, 0.271,ms
2026-02-10T21:00:09Z,3,ping_avg,Google DNS,icmp,default,0.309,ms
2026-02-10T21:00:09Z,3,ping_max,Google DNS,icmp,default,0.383,ms
2026-02-10T21:00:09Z,3,ping_stddev,Google DNS,icmp,default,0.032,ms
2026-02-10T21:00:09Z,3,ping_loss,Google DNS,icmp,default,0,percent
2026-02-10T21:00:13Z,4,ping_min,Google DNS,icmp,default, 0.250,ms
2026-02-10T21:00:13Z,4,ping_avg,Google DNS,icmp,default,0.304,ms
2026-02-10T21:00:13Z,4,ping_max,Google DNS,icmp,default,0.352,ms
2026-02-10T21:00:13Z,4,ping_stddev,Google DNS,icmp,default,0.026,ms
2026-02-10T21:00:13Z,4,ping_loss,Google DNS,icmp,default,0,percent
2026-02-10T21:00:17Z,5,ping_min,Google DNS,icmp,default, 0.264,ms
2026-02-10T21:00:17Z,5,ping_avg,Google DNS,icmp,default,0.331,ms
2026-02-10T21:00:17Z,5,ping_max,Google DNS,icmp,default,0.521,ms
2026-02-10T21:00:17Z,5,ping_stddev,Google DNS,icmp,default,0.067,ms
2026-02-10T21:00:17Z,5,ping_loss,Google DNS,icmp,default,0,percent
2026-02-10T21:00:20Z,1,ping_min,Cloudflare DNS,icmp,default, 10.914,ms
2026-02-10T21:00:20Z,1,ping_avg,Cloudflare DNS,icmp,default,11.027,ms
2026-02-10T21:00:20Z,1,ping_max,Cloudflare DNS,icmp,default,11.167,ms
2026-02-10T21:00:20Z,1,ping_stddev,Cloudflare DNS,icmp,default,0.066,ms
2026-02-10T21:00:20Z,1,ping_loss,Cloudflare DNS,icmp,default,0,percent
2026-02-10T21:00:24Z,2,ping_min,Cloudflare DNS,icmp,default, 10.894,ms
2026-02-10T21:00:24Z,2,ping_avg,Cloudflare DNS,icmp,default,10.931,ms
2026-02-10T21:00:24Z,2,ping_max,Cloudflare DNS,icmp,default,10.964,ms
2026-02-10T21:00:24Z,2,ping_stddev,Cloudflare DNS,icmp,default,0.022,ms
2026-02-10T21:00:24Z,2,ping_loss,Cloudflare DNS,icmp,default,0,percent
2026-02-10T21:00:28Z,3,ping_min,Cloudflare DNS,icmp,default, 10.900,ms
2026-02-10T21:00:28Z,3,ping_avg,Cloudflare DNS,icmp,default,11.071,ms
2026-02-10T21:00:28Z,3,ping_max,Cloudflare DNS,icmp,default,11.700,ms
2026-02-10T21:00:28Z,3,ping_stddev,Cloudflare DNS,icmp,default,0.231,ms
2026-02-10T21:00:28Z,3,ping_loss,Cloudflare DNS,icmp,default,0,percent
2026-02-10T21:00:32Z,4,ping_min,Cloudflare DNS,icmp,default, 10.931,ms
2026-02-10T21:00:32Z,4,ping_avg,Cloudflare DNS,icmp,default,10.996,ms
2026-02-10T21:00:32Z,4,ping_max,Cloudflare DNS,icmp,default,11.109,ms
2026-02-10T21:00:32Z,4,ping_stddev,Cloudflare DNS,icmp,default,0.058,ms
2026-02-10T21:00:32Z,4,ping_loss,Cloudflare DNS,icmp,default,0,percent
2026-02-10T21:00:36Z,5,ping_min,Cloudflare DNS,icmp,default, 10.910,ms
2026-02-10T21:00:36Z,5,ping_avg,Cloudflare DNS,icmp,default,10.976,ms
2026-02-10T21:00:36Z,5,ping_max,Cloudflare DNS,icmp,default,11.032,ms
2026-02-10T21:00:36Z,5,ping_stddev,Cloudflare DNS,icmp,default,0.039,ms
2026-02-10T21:00:36Z,5,ping_loss,Cloudflare DNS,icmp,default,0,percent
2026-02-10T21:00:40Z,1,ping_min,Internal Server,icmp,default, 0.235,ms
2026-02-10T21:00:40Z,1,ping_avg,Internal Server,icmp,default,0.386,ms
2026-02-10T21:00:40Z,1,ping_max,Internal Server,icmp,default,1.392,ms
2026-02-10T21:00:40Z,1,ping_stddev,Internal Server,icmp,default,0.336,ms
2026-02-10T21:00:40Z,1,ping_loss,Internal Server,icmp,default,0,percent
2026-02-10T21:00:43Z,2,ping_min,Internal Server,icmp,default, 0.218,ms
2026-02-10T21:00:43Z,2,ping_avg,Internal Server,icmp,default,0.290,ms
2026-02-10T21:00:43Z,2,ping_max,Internal Server,icmp,default,0.365,ms
2026-02-10T21:00:43Z,2,ping_stddev,Internal Server,icmp,default,0.041,ms
2026-02-10T21:00:43Z,2,ping_loss,Internal Server,icmp,default,0,percent
2026-02-10T21:00:47Z,3,ping_min,Internal Server,icmp,default, 0.256,ms
2026-02-10T21:00:47Z,3,ping_avg,Internal Server,icmp,default,0.330,ms
2026-02-10T21:00:47Z,3,ping_max,Internal Server,icmp,default,0.408,ms
2026-02-10T21:00:47Z,3,ping_stddev,Internal Server,icmp,default,0.043,ms
2026-02-10T21:00:47Z,3,ping_loss,Internal Server,icmp,default,0,percent
2026-02-10T21:00:51Z,4,ping_min,Internal Server,icmp,default, 0.276,ms
2026-02-10T21:00:51Z,4,ping_avg,Internal Server,icmp,default,0.324,ms
2026-02-10T21:00:51Z,4,ping_max,Internal Server,icmp,default,0.395,ms
2026-02-10T21:00:51Z,4,ping_stddev,Internal Server,icmp,default,0.042,ms
2026-02-10T21:00:51Z,4,ping_loss,Internal Server,icmp,default,0,percent
2026-02-10T21:00:55Z,5,ping_min,Internal Server,icmp,default, 0.223,ms
2026-02-10T21:00:55Z,5,ping_avg,Internal Server,icmp,default,0.288,ms
2026-02-10T21:00:55Z,5,ping_max,Internal Server,icmp,default,0.347,ms
2026-02-10T21:00:55Z,5,ping_stddev,Internal Server,icmp,default,0.037,ms
2026-02-10T21:00:55Z,5,ping_loss,Internal Server,icmp,default,0,percent
2026-02-10T21:00:59Z,1,iperf_failed,10.128.0.10,tcp,duration=5s_parallel=1,0,Mbps
