timestamp,test_iteration,threads,connections,duration,requests_total,requests_per_sec,transfer_per_sec_mb,latency_avg_ms,latency_stdev_ms,latency_max_ms
2026-02-11T10:33:17Z,1,1,10,10s,123156,12193.50,9.92,950,1140,24430
2026-02-11T10:33:29Z,2,1,10,10s,121605,12160.31,9.89,900,0.82068,17290
2026-02-11T10:33:41Z,3,1,10,10s,117502,11747.85,9.56,960,930,18980
2026-02-11T10:33:53Z,4,1,10,10s,123260,12325.47,10.03,930,1080,31280
2026-02-11T10:34:05Z,5,1,10,10s,121032,12101.86,9.84,920,1000,29190
2026-02-11T10:34:17Z,1,1,50,10s,115745,11569.60,9.41,4340,1950,41780
2026-02-11T10:34:30Z,2,1,50,10s,113009,11298.24,9.19,4420,1630,25920
2026-02-11T10:34:42Z,3,1,50,10s,123607,12353.00,10.05,4020,1590,25670
2026-02-11T10:34:54Z,4,1,50,10s,118979,11888.28,9.67,4190,1530,20630
2026-02-11T10:35:06Z,5,1,50,10s,112011,11190.81,9.10,4460,1480,33960
2026-02-11T10:35:18Z,1,1,100,10s,140018,13962.59,11.36,7120,2880,38630
2026-02-11T10:35:30Z,2,1,100,10s,138917,13833.15,11.25,7170,2940,43150
2026-02-11T10:35:42Z,3,1,100,10s,144891,14447.79,11.75,6860,2780,29140
