timestamp,test_iteration,threads,connections,duration,requests_total,requests_per_sec,transfer_per_sec_mb,latency_avg_ms,latency_stdev_ms,latency_max_ms
2026-02-10T21:23:22Z,1,1,10,10s,318197,31818.11,22.64,0.48607,1150,16350
2026-02-10T21:23:22Z,2,1,10,10s,305328,30231.78,21.51,0.7643,1660,16660
2026-02-10T21:23:22Z,3,1,10,10s,313774,31067.61,22.10,0.74221,2280,49020
2026-02-10T21:23:22Z,4,1,10,10s,314417,31130.74,22.15,0.68138,1550,17120
2026-02-10T21:23:22Z,5,1,10,10s,302521,29953.59,21.31,0.78596,1620,16260
2026-02-10T21:23:22Z,1,1,50,10s,354436,35408.42,25.19,1300,1160,17170
2026-02-10T21:23:22Z,2,1,50,10s,346397,34584.75,24.60,1300,1110,17200
2026-02-10T21:23:22Z,3,1,50,10s,351511,35087.12,24.96,1280,1330,30390
2026-02-10T21:23:22Z,4,1,50,10s,346973,34653.19,24.65,1440,1450,18510
2026-02-10T21:23:22Z,5,1,50,10s,350554,35035.99,24.93,1390,1370,17250
2026-02-10T21:23:22Z,1,1,100,10s,355872,35332.37,25.14,2370,1330,22430
2026-02-10T21:23:22Z,2,1,100,10s,360329,35824.14,25.49,2290,1140,12340
2026-02-10T21:23:22Z,3,1,100,10s,359062,35715.37,25.41,2310,1120,14300
2026-02-10T21:23:22Z,4,1,100,10s,355026,35257.68,25.08,2410,1420,28010
2026-02-10T21:23:22Z,5,1,100,10s,362855,36109.77,25.69,2300,1190,22110
