batch_id,run_number,machine_type,boot_time_seconds,timestamp
batch-1770671706,1,e2-micro,46.70,2026-02-09T21:15:53Z
batch-1770671706,1,e2-medium,53.42,2026-02-09T21:17:53Z
batch-1770671706,1,n2-standard-2,45.51,2026-02-09T21:19:44Z
batch-1770671706,2,e2-micro,54.13,2026-02-09T21:21:44Z
batch-1770671706,2,e2-medium,52.18,2026-02-09T21:23:42Z
batch-1770671706,2,n2-standard-2,43.25,2026-02-09T21:25:32Z
batch-1770671706,3,e2-micro,58.47,2026-02-09T21:27:36Z
batch-1770671706,3,e2-medium,49.02,2026-02-09T21:29:29Z
batch-1770671706,3,n2-standard-2,49.31,2026-02-09T21:31:25Z
batch-1770671706,4,e2-micro,53.95,2026-02-09T21:33:25Z
batch-1770671706,4,e2-medium,55.71,2026-02-09T21:35:26Z
batch-1770671706,4,n2-standard-2,54.15,2026-02-09T21:37:26Z
batch-1770671706,5,e2-micro,48.77,2026-02-09T21:39:20Z
batch-1770671706,5,e2-medium,53.11,2026-02-09T21:41:20Z
batch-1770671706,5,n2-standard-2,53.03,2026-02-09T21:43:18Z
batch-1770681601,1,e2-micro,49.93,2026-02-10T00:00:51Z
batch-1770681601,1,e2-medium,69.72,2026-02-10T00:03:08Z
batch-1770681601,1,n2-standard-2,56.22,2026-02-10T00:05:20Z
batch-1770681601,2,e2-micro,53.16,2026-02-10T00:07:20Z
batch-1770681601,2,e2-medium,51.12,2026-02-10T00:09:18Z
batch-1770681601,2,n2-standard-2,59.56,2026-02-10T00:11:25Z
batch-1770681601,3,e2-micro,61.85,2026-02-10T00:13:34Z
batch-1770681601,3,e2-medium,82.96,2026-02-10T00:16:04Z
batch-1770681601,3,n2-standard-2,43.87,2026-02-10T00:17:55Z
batch-1770681601,4,e2-micro,59.01,2026-02-10T00:20:01Z
batch-1770681601,4,e2-medium,57.40,2026-02-10T00:21:35Z
batch-1770681601,4,n2-standard-2,58.27,2026-02-10T00:23:40Z
batch-1770681601,5,e2-micro,62.72,2026-02-10T00:25:48Z
batch-1770681601,5,e2-medium,59.65,2026-02-10T00:28:08Z
