timestamp,test_iteration,benchmark_type,param_config,load_avg_1min,free_ram_mb,result_value,result_unit
2026-02-09T05:40:31Z,1,cpu,prime=5000_threads=1,0.47,7451,20809.27,events/sec
2026-02-11T10:03:54Z,1,cpu,prime=5000_threads=1,1.66,3094,1345.17,events/sec
2026-02-11T10:03:54Z,2,cpu,prime=5000_threads=1,1.48,3085,1516.35,events/sec
2026-02-11T10:03:54Z,3,cpu,prime=5000_threads=1,1.33,3079,1350.38,events/sec
2026-02-11T10:03:54Z,4,cpu,prime=5000_threads=1,1.10,3079,1325.92,events/sec
2026-02-11T10:03:54Z,5,cpu,prime=5000_threads=1,0.93,3078,1324.58,events/sec
2026-02-11T10:04:54Z,1,cpu,prime=5000_threads=4,0.79,3078,2065.60,events/sec
2026-02-11T10:04:54Z,2,cpu,prime=5000_threads=4,0.99,3071,2085.45,events/sec
2026-02-11T10:04:54Z,3,cpu,prime=5000_threads=4,1.16,3071,2427.59,events/sec
2026-02-11T10:04:54Z,4,cpu,prime=5000_threads=4,1.47,3070,2095.68,events/sec
2026-02-11T10:04:54Z,5,cpu,prime=5000_threads=4,1.72,3070,2098.33,events/sec
2026-02-11T10:05:54Z,1,cpu,prime=20000_threads=1,1.91,3070,199.63,events/sec
2026-02-11T10:05:54Z,2,cpu,prime=20000_threads=1,2.23,3071,201.70,events/sec
2026-02-11T10:05:54Z,3,cpu,prime=20000_threads=1,2.24,3071,201.35,events/sec
2026-02-11T10:05:54Z,4,cpu,prime=20000_threads=1,2.59,3071,198.05,events/sec
2026-02-11T10:05:54Z,5,cpu,prime=20000_threads=1,2.58,3085,236.10,events/sec
2026-02-11T10:06:54Z,1,cpu,prime=20000_threads=4,2.30,3077,325.27,events/sec
2026-02-11T10:06:54Z,2,cpu,prime=20000_threads=4,2.71,3073,309.36,events/sec
2026-02-11T10:06:54Z,3,cpu,prime=20000_threads=4,2.89,3070,317.34,events/sec
2026-02-11T10:06:54Z,4,cpu,prime=20000_threads=4,3.06,3070,308.65,events/sec
2026-02-11T10:06:54Z,5,cpu,prime=20000_threads=4,3.20,3070,311.87,events/sec
2026-02-11T10:07:55Z,1,memory,blocksize=1K_threads=1,3.21,3070,1672.25,MiB/sec
2026-02-11T10:07:55Z,2,memory,blocksize=1K_threads=1,2.81,3094,2340.54,MiB/sec
